Person,Product,crunchy,creamy,sweet,chocolaty,healthful,calorie,rich,addiction,accessible,handy,wrapping,image,commercial,,,,,,,,,,,
17,Duplo,4.00,2.00,5.00,5.00,1.00,4.00,3.00,3.00,4.00,4.00,3.00,4.00,4.00,,,,,,,,,,,
17,KinderBueno,3.00,4.00,5.00,4.00,1.00,4.00,3.00,3.00,2.00,2.00,3.00,2.00,3.00,,,,,,,,,,,
17,KinderRiegel,2.00,4.00,5.00,5.00,1.00,4.00,4.00,3.00,4.00,3.00,3.00,3.00,3.00,,,,,,,,,,,
17,KitKat,4.00,3.00,5.00,5.00,1.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,,,,,,,,,,,
17,Lion,4.00,4.00,5.00,5.00,1.00,5.00,4.00,3.00,4.00,4.00,3.00,3.00,3.00,,,,,,,,,,,
17,Mars,3.00,4.00,5.00,5.00,1.00,5.00,4.00,3.00,4.00,4.00,3.00,4.00,4.00,,,,,,,,,,,
17,Snickers,3.00,4.00,5.00,5.00,1.00,5.00,5.00,4.00,4.00,4.00,3.00,4.00,4.00,,,,,,,,,,,
17,Twix,4.00,4.00,5.00,5.00,1.00,5.00,5.00,5.00,5.00,5.00,3.00,3.00,4.00,,,,,,,,,,,
18,Balisto,4.47,1.91,4.05,3.86,2.28,4.09,3.42,2.92,3.49,4.00,3.41,3.16,3.18,,,,,,,,,,,
18,Bounty,2.00,1.00,5.00,3.00,1.00,2.00,4.00,2.00,5.00,3.00,3.00,3.00,3.00,,,,,,,,,,,
18,Duplo,4.00,1.00,5.00,5.00,1.00,4.00,3.09,3.00,4.00,4.00,4.00,4.00,4.00,,,,,,,,,,,
18,KinderBueno,4.00,5.00,5.00,2.00,1.00,2.00,3.48,4.00,3.00,5.00,4.00,3.00,3.00,,,,,,,,,,,
18,KinderRiegel,2.00,3.00,5.00,5.00,1.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,,,,,,,,,,,
18,KitKat,4.00,1.00,4.00,4.00,1.00,3.00,3.00,3.00,3.00,4.00,3.00,3.00,3.00,,,,,,,,,,,
18,Lion,4.19,3.37,4.57,4.05,1.57,4.64,3.82,3.25,3.80,4.00,3.55,3.44,3.21,,,,,,,,,,,
18,Mars,1.00,4.00,4.00,2.00,1.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,,,,,,,,,,,
18,Snickers,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,,,,,,,,,,,
18,Twix,1.00,4.00,4.00,2.00,1.00,5.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,,,,,,,,,,,
19,Balisto,4.00,2.00,3.00,3.00,3.00,3.00,3.00,2.00,3.00,3.00,4.00,4.00,4.00,,,,,,,,,,,
19,Bounty,2.00,2.00,2.00,4.00,1.00,5.00,2.00,2.00,3.00,3.00,5.00,5.00,2.00,,,,,,,,,,,
19,Duplo,5.00,3.00,5.00,4.00,1.00,5.00,2.00,2.00,3.00,3.00,5.00,5.00,5.00,,,,,,,,,,,
